ID;Genre;Senior;Enfants;Anciennete;Multi-lignes;Service Internet;Autres Services;Contrat;Facturation electronique;Partenaire;Mode de paiement;charges mensuelles;Charges totales;Desabonnement
155;Femme;0;Oui;6;Non;Non;Oui;Mensuel;Non;Oui;Cheque papier;19,7;113,5;
156;Femme;0;Oui;14;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;80,9;1152,8;
157;Femme;0;Non;22;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;84,15;1821,95;
163;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;69,7;135,2;
166;Homme;0;Non;69;Non;Non;Oui;Bisannuel;Non;Oui;Cheque papier;19,9;1363,45;
175;Femme;0;Non;32;Non;Non;Oui;Annuel;Non;Non;Virement bancaire;20,55;654,55;
181;Femme;0;Non;1;Non;DSL;Non;Mensuel;Non;Non;Virement bancaire;29,95;29,95;
186;Femme;0;Non;1;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;24,8;24,8;
197;Homme;0;Oui;24;Oui;Non;Oui;Bisannuel;Oui;Oui;Virement bancaire;24,1;587,4;
204;Homme;0;Oui;13;Non;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;78,3;1033,95;
206;Femme;0;Non;33;Non;Fibre optique;Oui;Annuel;Oui;Non;Virement bancaire;79,95;2684,85;
213;Homme;0;Oui;61;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;19,75;1124,2;
218;Homme;0;Non;66;Non;DSL;Non;Bisannuel;Oui;Oui;Virement bancaire;56,6;3789,2;
221;Femme;0;Non;4;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;70,15;268,35;
222;Femme;0;Non;71;Oui;Non;Oui;Bisannuel;Non;Oui;Virement bancaire;24,75;1836,9;
223;Homme;0;Oui;1;Non;Non;Oui;Annuel;Oui;Oui;Cheque electronique;20,2;20,2;
232;Homme;0;Non;50;Non;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;93,5;4747,5;
234;Femme;0;Non;72;Non;Non;Oui;Bisannuel;Non;Non;Carte bancaire;20,25;1566,9;
236;Homme;0;Non;2;Oui;DSL;Oui;Mensuel;Oui;Non;Cheque papier;54,4;114,1;
243;Femme;0;Oui;41;Non;DSL;Oui;Annuel;Oui;Oui;Carte bancaire;74,7;3187,65;
245;Femme;1;Non;13;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;54,8;731,3;
271;Femme;1;Non;16;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;94,45;1511,2;
283;Femme;0;Oui;1;Oui;Non;Oui;Mensuel;Non;Non;Cheque papier;25,4;25,4;
284;Femme;0;Non;68;Oui;DSL;Oui;Mensuel;Non;Non;Cheque papier;54,45;3687,75;
287;Femme;0;Non;20;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;44,35;927,15;
295;Femme;0;Non;12;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;19,7;220,35;
312;Femme;0;Non;22;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;89,05;1886,25;
313;Femme;0;Non;43;Oui;Fibre optique;Oui;Bisannuel;Non;Non;Carte bancaire;115,05;4895,1;
317;Homme;0;Non;71;Non;Non;Oui;Bisannuel;Oui;Non;Carte bancaire;19,9;1355,1;
323;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;44,8;44,8;
331;Femme;0;Oui;35;Non;Non;Oui;Bisannuel;Oui;Oui;Cheque papier;19,85;739,35;
335;Femme;0;Non;2;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque papier;80,6;155,8;
341;Femme;1;Non;32;Non;DSL;Oui;Mensuel;Non;Non;Virement bancaire;54,65;1830,1;
343;Femme;0;Oui;66;Oui;DSL;Oui;Mensuel;Oui;Oui;Virement bancaire;67,45;4508,65;
347;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;90,4;168,2;
356;Femme;0;Non;10;Non;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;80,25;846;
367;Homme;0;Non;23;Non;DSL;Oui;Mensuel;Oui;Oui;Virement bancaire;59,95;1406;
370;Homme;0;Oui;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;112,6;8126,65;
377;Homme;0;Non;1;Non;DSL;Non;Mensuel;Non;Non;Cheque papier;25,35;25,35;
380;Homme;0;Non;17;Oui;Fibre optique;Oui;Annuel;Non;Non;Cheque electronique;86,75;1410,25;
385;Homme;0;Non;48;Oui;Fibre optique;Oui;Bisannuel;Oui;Non;Virement bancaire;108,1;5067,45;
386;Homme;1;Non;11;Non;Non;Oui;Mensuel;Non;Oui;Cheque papier;19,95;214,75;
387;Femme;1;Non;55;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;85,45;4874,7;
391;Femme;0;Non;27;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;95,6;2595,25;
408;Homme;1;Oui;32;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque papier;93,95;2861,45;
446;Femme;0;Non;60;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;105,9;6396,45;
453;Homme;0;Non;60;Non;DSL;Non;Mensuel;Oui;Oui;Virement bancaire;60,2;3582,4;
454;Femme;0;Oui;28;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;81,05;2227,1;
460;Homme;0;Non;1;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;75,1;75,1;
480;Femme;0;Oui;15;Non;Fibre optique;Oui;Mensuel;Non;Non;Virement bancaire;69;994,8;
487;Femme;0;Non;15;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;100,15;1415;
493;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;74,4;139,4;
501;Homme;0;Non;34;Oui;Fibre optique;Oui;Annuel;Non;Non;Carte bancaire;116,25;3899,05;
503;Femme;0;Oui;70;Oui;DSL;Oui;Annuel;Non;Oui;Virement bancaire;65,2;4543,15;
522;Homme;1;Non;29;Oui;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;51,6;1442;
534;Homme;1;Oui;68;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Carte bancaire;107,15;7379,8;
538;Femme;0;Oui;33;Non;DSL;Oui;Annuel;Oui;Oui;Cheque papier;58,45;1955,4;
540;Femme;0;Oui;60;Non;DSL;Oui;Bisannuel;Oui;Oui;Virement bancaire;80,6;4946,7;
545;Homme;0;Non;13;Non;DSL;Non;Mensuel;Oui;Non;Carte bancaire;45,55;597;
546;Homme;0;Oui;34;Non;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;78,95;2647,2;
552;Femme;0;Oui;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Virement bancaire;115,6;8220,4;
569;Femme;0;Non;35;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;100,25;3527,6;
570;Femme;0;Non;11;Non;DSL;Non;Annuel;Oui;Non;Carte bancaire;40,4;422,6;
574;Homme;0;Non;56;Oui;Fibre optique;Oui;Annuel;Non;Oui;Carte bancaire;100,3;5614,45;
577;Homme;0;Oui;31;Oui;Fibre optique;Oui;Annuel;Non;Oui;Virement bancaire;98,05;3082,1;
580;Homme;0;Non;2;Non;Non;Oui;Mensuel;Oui;Non;Cheque papier;19,65;38,8;
591;Homme;0;Non;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;111,9;8071,05;
604;Homme;0;Non;46;Oui;Fibre optique;Oui;Bisannuel;Non;Non;Cheque electronique;108,65;4903,2;
615;Homme;0;Non;50;Oui;DSL;Oui;Bisannuel;Non;Non;Virement bancaire;69,5;3418,2;
632;Femme;0;Non;46;Oui;DSL;Oui;Mensuel;Non;Oui;Virement bancaire;55;2473,95;
643;Homme;0;Non;1;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;89,55;89,55;
645;Femme;0;Oui;15;Oui;Non;Oui;Mensuel;Oui;Oui;Cheque electronique;25,25;394,85;
647;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Non;Cheque papier;45,7;45,7;
649;Femme;1;Non;2;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;89,5;161,5;
650;Homme;1;Non;24;Non;Fibre optique;Oui;Mensuel;Non;Non;Carte bancaire;70;1732,6;
657;Homme;0;Oui;68;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;88,85;6132,7;
659;Homme;0;Oui;2;Non;Non;Oui;Annuel;Non;Oui;Cheque papier;19,85;35,9;
660;Homme;0;Non;37;Non;Non;Oui;Mensuel;Non;Oui;Virement bancaire;20,35;697,65;
669;Femme;0;Non;4;Non;DSL;Oui;Mensuel;Non;Non;Cheque papier;45,65;191,05;
677;Femme;0;Non;48;Oui;Non;Oui;Annuel;Non;Non;Virement bancaire;24,55;1203,95;
680;Homme;0;Non;45;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Virement bancaire;81,4;3775,85;
681;Homme;0;Oui;1;Non;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;80;80;
683;Homme;0;Non;3;Non;DSL;Oui;Mensuel;Oui;Non;Carte bancaire;64,4;195,65;
694;Femme;0;Non;3;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;75,1;270,7;
702;Homme;0;Non;35;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;83,15;2848,45;
703;Homme;0;Non;29;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;84,9;2516,2;
708;Homme;1;Non;27;Oui;Fibre optique;Oui;Annuel;Oui;Non;Virement bancaire;104,65;2964;
719;Femme;0;Non;26;Non;DSL;Non;Mensuel;Oui;Non;Carte bancaire;50,35;1277,5;
721;Homme;0;Oui;2;Non;Non;Oui;Annuel;Non;Oui;Cheque papier;20,2;34,75;
731;Femme;0;Non;45;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;87,25;3941,7;
734;Femme;0;Oui;72;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Virement bancaire;79,05;5730,7;
739;Homme;1;Non;42;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;79,35;3344,1;
744;Femme;0;Oui;61;Oui;Non;Oui;Bisannuel;Oui;Oui;Cheque papier;24,1;1551,6;
746;Femme;1;Non;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;110,8;7882,25;
748;Femme;1;Non;3;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque papier;75,05;202,9;
755;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;90,35;190,5;
768;Homme;0;Non;14;Non;Non;Oui;Annuel;Non;Non;Virement bancaire;20,4;275,7;
769;Homme;0;Non;41;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;74,25;3089,1;
791;Femme;0;Oui;60;Non;DSL;Non;Bisannuel;Non;Oui;Carte bancaire;59,85;3590,2;
794;Femme;0;Oui;34;Non;DSL;Oui;Bisannuel;Non;Non;Carte bancaire;67,65;2339,3;
808;Homme;0;Non;71;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;108,55;7616;
811;Homme;0;Non;58;Oui;Fibre optique;Oui;Annuel;Oui;Non;Virement bancaire;103,25;6017,65;
813;Femme;0;Non;42;Oui;Non;Oui;Bisannuel;Non;Oui;Cheque electronique;25,25;1108,2;
814;Homme;0;Oui;34;Non;DSL;Non;Annuel;Non;Oui;Virement bancaire;30,4;938,65;
815;Homme;1;Non;5;Non;Non;Oui;Mensuel;Non;Non;Virement bancaire;20,05;94,15;
820;Homme;0;Non;70;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;88;5986,45;
832;Homme;0;Oui;38;Oui;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;25,05;963,95;
839;Homme;0;Non;36;Non;DSL;Oui;Mensuel;Oui;Non;Carte bancaire;79,2;2854,95;
842;Femme;0;Non;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;105;7589,8;
851;Femme;0;Oui;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Virement bancaire;115,8;8476,5;
854;Femme;0;Non;5;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;64,35;352,65;
855;Femme;0;Non;68;Non;Non;Oui;Bisannuel;Non;Non;Carte bancaire;20,5;1424,9;
857;Homme;0;Non;72;Oui;DSL;Oui;Bisannuel;Non;Non;Carte bancaire;86,05;6309,65;
859;Femme;0;Non;66;Oui;Fibre optique;Oui;Annuel;Non;Oui;Cheque electronique;89;5898,6;
863;Homme;1;Non;20;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;73,65;1463,5;
866;Homme;0;Non;4;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque papier;80,6;319,15;
869;Homme;0;Non;59;Oui;Fibre optique;Oui;Annuel;Non;Oui;Cheque electronique;85,55;5084,65;
877;Femme;0;Non;15;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;105,1;1582,75;
881;Homme;0;Non;10;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;110,1;1043,3;
896;Homme;0;Non;30;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;94,3;2679,7;
909;Femme;0;Oui;8;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;19,95;170,9;
918;Homme;0;Non;72;Non;DSL;Non;Bisannuel;Oui;Non;Virement bancaire;65,55;4807,45;
952;Femme;0;Non;8;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;75,6;535,55;
957;Femme;0;Oui;71;Oui;Non;Oui;Bisannuel;Non;Oui;Virement bancaire;25,45;1813,35;
958;Homme;0;Non;4;Non;DSL;Oui;Mensuel;Non;Non;Cheque electronique;56,75;245,15;
961;Homme;1;Non;7;Non;DSL;Non;Mensuel;Non;Oui;Virement bancaire;29,8;220,45;
976;Homme;0;Non;71;Oui;Fibre optique;Oui;Bisannuel;Oui;Non;Cheque electronique;108,05;7532,15;
978;Femme;0;Non;11;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;75,25;888,65;
988;Homme;0;Non;1;Non;Non;Oui;Mensuel;Non;Non;Virement bancaire;19,75;19,75;
992;Femme;0;Non;58;Oui;Non;Oui;Bisannuel;Non;Non;Carte bancaire;24,35;1423,85;
996;Femme;0;Non;35;Oui;Fibre optique;Oui;Mensuel;Non;Non;Carte bancaire;85,3;2917,5;
1004;Femme;0;Non;37;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;19,85;784,25;
1008;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;68,95;119,75;
1009;Homme;0;Oui;32;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;99,55;3204,65;
1012;Femme;0;Oui;71;Non;DSL;Non;Bisannuel;Non;Oui;Cheque papier;58,65;4145,25;
1013;Homme;0;Non;9;Non;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;95,9;827,45;
1021;Femme;0;Oui;39;Non;DSL;Oui;Mensuel;Non;Oui;Carte bancaire;51,05;2066;
1022;Homme;0;Non;28;Non;DSL;Oui;Annuel;Non;Oui;Cheque papier;54,35;1426,45;
1028;Femme;0;Non;47;Oui;Fibre optique;Oui;Annuel;Non;Non;Carte bancaire;94,9;4615,25;
1031;Femme;0;Oui;50;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;69,75;3557,7;
1032;Homme;0;Oui;27;Oui;DSL;Oui;Mensuel;Non;Oui;Virement bancaire;71,6;1957,1;
1033;Femme;1;Non;8;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;92,1;729,95;
1052;Femme;0;Oui;16;Non;DSL;Non;Mensuel;Oui;Oui;Carte bancaire;35,5;552,7;
1060;Homme;0;Non;23;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;90,6;1943,2;
1066;Femme;0;Non;23;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;90,05;2169,8;
1083;Homme;0;Oui;0;Oui;Non;Oui;Bisannuel;Non;Oui;Cheque papier;25,75;;
1089;Homme;1;Non;17;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;100,45;1622,45;
1098;Homme;0;Oui;25;Non;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;90,4;2178,6;
1103;Homme;0;Oui;3;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;56,15;168,15;
1120;Homme;0;Oui;70;Non;DSL;Non;Bisannuel;Non;Oui;Virement bancaire;59,5;4144,8;
1122;Femme;0;Non;50;Oui;DSL;Oui;Annuel;Oui;Non;Carte bancaire;82,5;4179,1;
1129;Homme;0;Non;27;Non;Non;Oui;Mensuel;Oui;Non;Cheque electronique;19,4;529,8;
1130;Homme;1;Non;47;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;86,05;3865,6;
1133;Femme;1;Non;11;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;104,05;1133,65;
1135;Femme;0;Oui;26;Non;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;81,95;2070,05;
1142;Homme;0;Oui;6;Non;Non;Oui;Mensuel;Oui;Non;Cheque papier;20,2;98,35;
1143;Homme;1;Oui;11;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;75,2;775,3;
1148;Femme;0;Non;3;Oui;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;60,25;170,5;
1149;Femme;0;Non;2;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;95,15;196,9;
1170;Homme;1;Non;70;Non;DSL;Non;Annuel;Oui;Non;Carte bancaire;44,05;3011,65;
1182;Homme;1;Non;21;Non;DSL;Oui;Mensuel;Oui;Non;Virement bancaire;60,05;1236,15;
1183;Homme;0;Non;57;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;53,75;3196;
1186;Femme;0;Non;1;Oui;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;60,15;60,15;
1201;Homme;0;Non;37;Oui;Fibre optique;Oui;Annuel;Oui;Non;Carte bancaire;104,5;3778;
1203;Homme;0;Non;53;Non;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;94,25;4867,95;
1204;Femme;0;Non;60;Oui;Non;Oui;Bisannuel;Non;Non;Cheque papier;25;1505,05;
1206;Homme;0;Non;1;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;74,9;74,9;
1208;Femme;0;Oui;9;Non;DSL;Oui;Mensuel;Oui;Non;Carte bancaire;69,4;571,45;
1209;Femme;0;Non;1;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;80,25;80,25;
1210;Homme;0;Non;56;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;93,15;5253,95;
1224;Femme;0;Non;2;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;75,9;143,35;
1233;Homme;0;Oui;34;Non;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;78,3;2564,3;
1246;Homme;1;Non;23;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;90,45;2117,25;
1251;Femme;0;Non;56;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Virement bancaire;103,2;5744,35;
1254;Femme;0;Non;7;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;79,3;523,15;
1256;Femme;0;Non;2;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;30,9;59,05;
1257;Femme;0;Oui;72;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;85,9;6110,75;
1260;Femme;1;Non;46;Non;Fibre optique;Oui;Annuel;Non;Non;Carte bancaire;95,25;4424,2;
1267;Femme;1;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;80,25;303,7;
1283;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Non;Cheque papier;62,8;62,8;
1288;Femme;0;Oui;30;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;107,5;3242,5;
1300;Femme;0;Non;11;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;44,05;483,7;
1303;Femme;0;Oui;45;Non;DSL;Oui;Bisannuel;Oui;Oui;Cheque papier;81;3533,6;
1305;Homme;1;Non;15;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;85,6;1345,55;
1308;Femme;0;Non;36;Non;DSL;Oui;Annuel;Oui;Non;Cheque papier;75,55;2680,15;
1315;Femme;0;Oui;39;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;89,55;3474,45;
1327;Femme;0;Oui;43;Non;DSL;Non;Annuel;Oui;Oui;Virement bancaire;51,25;2151,6;
1328;Homme;0;Non;59;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;99,5;5961,1;
1338;Homme;0;Non;31;Non;Non;Oui;Bisannuel;Non;Non;Virement bancaire;20,4;609,1;
1343;Femme;0;Non;8;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20;141,6;
1349;Homme;0;Non;10;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;79,95;857,2;
1352;Homme;0;Oui;11;Non;Non;Oui;Mensuel;Oui;Oui;Cheque electronique;20,45;250,8;
1360;Femme;0;Non;9;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;94,75;889,9;
1367;Homme;0;Non;10;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;85,6;813,85;
1387;Homme;0;Non;64;Oui;DSL;Oui;Bisannuel;Non;Non;Carte bancaire;86,55;5632,55;
1394;Femme;0;Non;1;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,35;20,35;
1400;Femme;0;Oui;14;Non;Non;Oui;Annuel;Non;Oui;Cheque papier;19,55;294,5;
1407;Homme;0;Oui;66;Oui;Non;Oui;Bisannuel;Oui;Non;Carte bancaire;25,3;1673,8;
1410;Femme;0;Oui;43;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;92,55;4039;
1419;Homme;0;Oui;67;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;89,55;6373,1;
1425;Femme;0;Oui;48;Non;Non;Oui;Annuel;Non;Non;Cheque papier;19,95;936,7;
1426;Homme;0;Non;12;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;74,15;741,4;
1431;Femme;0;Non;23;Oui;Non;Oui;Annuel;Non;Non;Carte bancaire;24,8;615,35;
1438;Homme;0;Non;27;Oui;DSL;Oui;Mensuel;Non;Non;Cheque papier;49;1291,35;
1439;Femme;0;Non;40;Non;DSL;Oui;Annuel;Oui;Non;Cheque papier;50,25;2023,55;
1442;Femme;1;Non;58;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;97,8;5458,8;
1444;Homme;0;Non;3;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;55,8;154,55;
1446;Homme;0;Non;20;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque papier;98,55;2031,95;
1447;Homme;0;Oui;1;Oui;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;50,05;50,05;
1462;Homme;0;Non;22;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Carte bancaire;95,9;2234,95;
1467;Homme;0;Oui;12;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;49,2;571,15;
1480;Femme;0;Non;44;Non;DSL;Non;Annuel;Oui;Non;Cheque electronique;49,05;2265;
1481;Homme;0;Non;39;Non;DSL;Non;Annuel;Non;Non;Cheque papier;35,55;1309,15;
1488;Femme;0;Non;56;Oui;Fibre optique;Oui;Annuel;Oui;Non;Cheque electronique;106,8;5914,4;
1491;Femme;1;Non;66;Oui;DSL;Oui;Annuel;Oui;Oui;Virement bancaire;70,85;4738,85;
1507;Homme;0;Non;68;Non;DSL;Non;Bisannuel;Oui;Oui;Virement bancaire;54,1;3794,5;
1511;Homme;0;Non;71;Oui;DSL;Oui;Bisannuel;Non;Oui;Carte bancaire;80,4;5727,15;
1535;Femme;0;Oui;69;Non;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;19,8;1436,95;
1536;Homme;1;Non;7;Oui;DSL;Oui;Mensuel;Non;Oui;Cheque electronique;64,2;475;
1555;Homme;0;Non;26;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,9;518,3;
1556;Femme;0;Non;53;Non;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;106,1;5769,75;
1565;Homme;1;Non;10;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;95,35;898,35;
1587;Femme;0;Oui;68;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Virement bancaire;109,05;7508,55;
1589;Femme;1;Non;50;Oui;Fibre optique;Oui;Annuel;Oui;Non;Cheque electronique;106,8;5347,95;
1597;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;70,35;120,25;
